first_seg	second_seg
Yall gotta stop dividing yall pics into 2s and 3s. Ion wanna see the	same pic that many times
I'm a AKA see?! I be like smh could have sworn they sign	was a pinky but awok
"What's happened to The Game coming on in Jan, no none"	wants to wait til March
I will NEVER leave my phone in the hands of Shonaka and Tae again.	They take a million pics
Tweeting and not texting back is the quickest way for me not to text	you back when you do
kicking it where tho. I'm confused and bish you have yet	to tell me you here.
Don't allow your dreams to be shattered by a hater throwing rocks because they are afraid	to chase their on dreams
Think ima slide to the game tomorrow and I don't want NO ONE begging	me for no free food
Need to get my ends clipped but a bih not gone	clip all my hair off
Lmao girl I was too drunk to even remember tho. Was	I extra faded or naw?
Tae got it so hot in here that my contacts damn near about	to fall out my eyes
Out gettin my sis something to EAT before she head to	"Work!!"" That's sweet Ju Ju"
Oh and s/o to whatever damn sigma that was outside my window yelling and woke me up out of me sleep but its yo day	so be out my nigga
"Boy you niggas be wiggin ova these hoes. Bustin' windows, goin to jail n shi..smh"""	sound like some female ish
I hate the words they replace curse words with in BET movies lol the	shit doesn't make sense lol
Baby you my everything... you all I ever wanted...we can do it real big...bigger	than you ever done it
if I can sell my old iPad for 200 I'm a holla	at you about getting one
When people learn that Idc about what they think about me...I swear they	will be much better off
Lol and act of self defense it will be and trust I will be the only one who will be able to tell my	side of the story lol
Y'all killing me tonight. But wait tae what about the next day when was dead	af with just straight niggas
Ik im tired so im finna go to sleep bet not nobody call me cuz	u will go to voicemail
Me too Tosha I think he has someone mixed up cause only person had a drink that night	in the club was tae
"MY FINGER ARE INCHIN,ITCHIN,ITCHIN FOR DAT PAPER . I AM AROUND THE CITY WITH MY CALCULATOR."	IN MY ( FUTURE) VOICE
tHIS BITCH REALLY WANT FAME OFFF MY MAIN NAME AINT NO MONEY IN THAT laugh	at your down ass REBLOCKED
"huh quote of the day/thought ""the core of our ethics are the"	"principles that define us"" -wemac04"
"Dear females, if you try to fight a male don't be surprised if you get punched, because even though it's"	"not right, it can happen."
when my daddy went to jail aint none of his boys came around or helped me out when i was down so	its fuck them niggas now
hiphop is in my blood just finished watch one of your old video make it funky	for you still fills fresh
"Its either you fuck with me or you dont, & if I feel as though you dont I'm not gonna"	"waste my time or breath"""
"do u need a workout schedule or u working all week."" I'm off tues and Friday! I forgot wht"	days I get off early
"Am?n, olv?date que si tienen FE en el Rey de Reyes van a ser sanos y recompenzados en esta vida"	o en la otra :)
Sleepy doc in da a.m. work in da p.m. hair to	do huh busy day tomorrow
Happy Founders Day to the Brothers of Blue Phi or as I	"call them my ""siggies"" !!!!!"
Love???? Mfs cant ever say it right now a days so	how can they feel it
But wen i was in julian senior yr mf was goin nuts over a	Nipple im tambout goin nuts
Mane the spot was super turned up my nigga Row brung em out jank everywhere if	u missed it oh well
Im so n love wit this man.... I love his smile his swag his dreads	I'm ur I LOVE YOU
"I don't really trust humans that much these days Hmm shit, fact of the matter is, i trust dogs"	more than i trust humans
"I think she tryna make me mad , everytime I see her she say where my BESTFRIEND ett ; I dont knoo"	& cudd care less .
aint really got shit to do i was only sliding if this nigga doc	was going to this meeting
"i have a date tonite....its with my bed,pillow and the t.v."	", that still counts right!!!"
g the big ten the best conference so u cant be mad at these niggas for losing but they	wait til the end smh
Happy Centennial to all the Deltas I know..s/o to the Deltas	on my yard ZQ..enjoy it
Let my people out them chains nigga i mean handcuffs time to man up put my hands up fuck u saying bruh cause im a	black man in a phantom
Were is the gurl black China tell ha I'm looking for her n my future voice	CTFU ! She Wants TETE
can't express what I feel for you! Glad I'm bringing this Year in	with you! Love you *Superman*!!!
"CTFU , she a scary ass bitch ! That dick make her have"	respect ! Heyyyy Naa !
Anthony ole Grizzly Bear Looking Ass Just Got Threw Hibernating Now Finna Eat The Hse	"Up , Fucking Pig !"
I need to find out where some more places are that's hiring...being at home not doing	nothing isn't for me!!! =)
"Now all I really need when this goes off is some food, soda, a good movie, and my man on my"	phone screen via Tango!!! =D
Some people call Justin bieber a fag but I think he's not there jealous cause his voice	but he's not them haters
Ain't forgot about my dawg just been sick as fuck and you	know how niggas be bullshittin
"My Bestfraand Lost his granny today,he couldn't figure why she wuld want him 2 stay with her these last few"	days..He just cried right her
If you dontdesign yourown life planchances are youllfall into someone elsesplan.And guess what they have	planned for you?Not much.?Jim Rohn
"Feel like shit, but talking to my babe, made my day"	much better I love him...
No cause We gone cut yo fingers off and fry Em.	FYM so be prepared HOMES
"watching the rose bowl, I like ball & phillips. That qb caight my eye vs OSU. Played a good game. I"	like both as pats. IMO
"LMAO at the gt. I've seen them all. Dragon ball was drama, dbz was science fiction, & dbgt was a bunch of"	free time on their hands.
If you gotta argue nd fight over yo nigga he was never	yours to begin with!! -__-
do u want ne to come or not.. Dm yo num	I dont got my phone.
"ray is one of the greatest players, defenders ever! Even today, he can still play with the best of"	them if he wanted to.
. Lookin Ad Baby Sleepin Like Ah Baby Body So Amazin Drive Mhe Krazy Um Bout Ta Wake Uu Uhp Gurl II	Wanna Sex Uu Uhp ...!
only team that won their wild card game on the road?! You've already proved	your point! GET THAT W!
. Dnt Even Trip Mfs On Twitter Sneak Dissin &&'d Dese Hoes Stay Taken Mhe As A Joke Like Bytch	Ii Kill Uu Goofy .
"I call it the charlie batch disease lol. Didn't he have red flags in the draft? He's ok now, but"	"if it keeps happening, idk."
"moss a good idea, but I wouldn't tell you to get reed. I think the defense is"	"fine, they've found the formula."
. If He/She Is Who Makes Uu Happy Stay Happy Make Guhd Memory's Cuz Ones He Or Uu Fuk Uhp Uu Gne Wish Uu Had Her	Or Him Bak . .!
I think chris bosh need to have the most shot attempts every night. Lebron should get 5	assists to him everygame. Fair?
Swaggang Hitman I Think Im A.Goff ridein wit Two Bitches And My Blunts	Gone Make You cough (:
Good Morning!!! Sending a Special Thanks to everyone who was in attendance last night	for the first show recording
"Get Cha Mind Right Open Mic !! 9pm TONIGHT Purple Cafe 3964 Government Bld, Mobile, AL we are feat D"	5 Hosted by Huggy Bear
"Open Mic TONIGHT!! Purple Cafe 3964 Government Bld, Mobile, AL Feat Huggy Bear Da Poet!! Guest Host"	2 Loose $7 Holla.9pm Sharp!
Get Cha Mind Right Open Mic. Tonight at The Purple Cafe 9pm. Feat Mz CarriMail. Its	Erotic Night! Brimg extra Panties!!
Just waking up. .and it's almost time to get ready for work. .smh..	thinkin of calling out lol
"Abby while watching Walk the Line (again) ""Did Elvis, Cash, Jerry Lee Lewis all tour together? Why wasn?t I alive"	"then?"" My daughter is cool"
Love is not finding a hand that perfectly fits yours. It's finding the one who is willing to hold your hands no matter	how unfit it may be.
"How I need you How I need you Oh Jesus, walk with me. My prayer"	for today and this year.
"As a father, you are not first a disciplinarian. You are a discipler. Mom, your main role is not to make"	"meals, but to make disciples."
Yhu One Bitch Made Nigga Pussy Ass Nigga Fuck Around And Get Layed Down Thats	How We Play It Nigga!
My best friend mad at me bc I told her the truth about this bum ass nigga bitch its my place to tell you to throw his	ass to the waste side!
Up at work tired need to go home but if i didnt love my job i swear i	would of called in lol
See you the type of bitch ah nigga dont wife yhu come with two many	problems and it aint right!
I think I'm the only one coming back on Monday like a re-re.	I should change that. Lol.
I would enjoy seeing come back to WWE an piss in the face of ppl who dnt like to	be cool...spitting is gross Ha
bahhaaa! Il admit it I am.But I guarantee u his ass twice as bad ofF As I am.IKNW YUR NOT TLKN U BIG	CRY BABY THTS PAS WHIPD
You Like Me YOU LIKE ME You Hate Me YOU HATE ME <> But Just Know im Going To	Always Be Me Regardless. >>>>>
family is going to be with you Forever. Im going to hold my own self down i think i know what	i did wrong hear .
Who cares how you haters feel!!! Still got my money!!!!! Oooooo all I see is	"$ signs, money on mind!!"
This weekend I gotta get my hair n eyebrows done! I been too booed up n lazy lbs!!!	Time to get it together!
So when a man want u with him all day everyday says a lot...Time is	"what I love!"" It is"
"You the 1 I dream about all day, you the 1"	that I think about always!!!
"Niggas are hilarious.. They scream ""i like bad bitches"" and kids mothers look like a penny"	"wit a whole in it..""ha!!!"
